SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;IS_RII;ISSUEDATE;EVENINGSESSION;MORNINGSESSION;IS_QUALIFIED_INVESTORS;HIGH_RISK;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;SECURITYCAPITALIZATION;EMITENTCAPITALIZATION;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED
KLSB;КалужскСК;"ао""Калужская сбыт.комп.""ПАО";Акции обыкновенные;RU000A0DKZK3;1-01-65057-D;3;0,2;RUB;91487347;0;0;TQBR;Т+: Акции и ДР - безадрес.;;26.08.2005;0;0;0;0;;;;;1620240915.3700001;1620240915.3700001;"Публичное акционерное общество ""Калужская сбытовая компания""";4029030252;100;17,5305;17,5305;5,2592;29,8019;3,5061;31,5549;0,8765;34,1845;70,0;849928;80,0;4249640;95,0;15,16000;28,16000;1
KMAZ;КАМАЗ;КАМАЗ ПАО;Акции обыкновенные;RU0008959580;1-08-55010-D;2;50,0;RUB;707229559;0;0;TQBR;Т+: Акции и ДР - безадрес.;;26.02.2004;0;0;0;0;2021-06-16;;;закрытие реестра;108489014350.6;108489014350.6;"Публичное акционерное общество ""КАМАЗ""";1650032058;10;153,23;153,23;0,0;306,46;0,0;306,46;0,0;306,46;100,0;;;;;10,52000;29,62000;1
KMEZ;КМЗ;Ковровский механический завод;Акции обыкновенные;RU0006753613;1-02-05376-A;3;250,0;RUB;3764600;0;0;TQBR;Т+: Акции и ДР - безадрес.;;07.09.2009;0;0;0;0;;;;;4555166000.0;4555166000.0;"публичное акционерное общество ""Ковровский механический завод""";3305004397;1;1208,66;1208,66;0,0;2417,32;0,0;2417,32;0,0;2417,32;100,0;;;;;11,69000;14,25000;1
KMTZ;КосогМЗ ао;Косогорский метал. завод ПАО;Акции обыкновенные;RU000A0HF1L0;1-01-03975-A;3;1,0;RUB;28416095;0;0;TQBR;Т+: Акции и ДР - безадрес.;;09.12.2011;0;0;0;0;2015-12-25;;;закрытие реестра;5910547760.0;5910547760.0;"Публичное акционерное общество ""Косогорский металлургический завод""";7104002774;10;208,768;208,768;0,0;417,536;0,0;417,536;0,0;417,536;100,0;;;;;12,10000;16,67000;1
KOGK;КоршГОК ао;Коршуновский ГОК ПАО ао;Акции обыкновенные;RU0002155359;1-01-20992-F;3;1,0;RUB;250126;0;0;TQBR;Т+: Акции и ДР - безадрес.;;28.08.2008;0;0;0;0;;;;;11355720400.0;11355720400.0;"Публичное акционерное общество ""Коршуновский горно-обогатительный комбинат""";3834002314;1;45349,62;45349,62;0,0;90699,24;0,0;90699,24;0,0;90699,24;100,0;;;;;10,08000;14,61000;1
KRKN;СаратНПЗ;Саратовский НПЗ ПАО ао;Акции обыкновенные;RU0009100408;1-01-00248-A;3;1,0;RUB;748012;0;0;TQBR;Т+: Акции и ДР - безадрес.;;08.12.2011;0;0;0;0;2021-08-11;;;закрытие реестра;8041129000.0;11536833740.0;"Публичное акционерное общество ""Саратовский нефтеперерабатывающий завод""";6451114900;1;10738,07;10738,07;0,0;21476,14;0,0;21476,14;0,0;21476,14;100,0;;;;;7,19000;12,96000;1
KROT;КрасОкт-ао;"""КрасныйОктябрь"" ПАО - ао";Акции обыкновенные;RU0008913850;1-02-00060-A;3;1,0;RUB;9217583;0;0;TQBR;Т+: Акции и ДР - безадрес.;;09.09.2003;0;0;0;0;2022-07-11;;;закрытие реестра;15826590011.0;16861723409.0;"Публичное акционерное общество ""Московская кондитерская фабрика ""Красный Октябрь""";7706043263;10;1711,099;1711,099;0,0;3422,198;0,0;3422,198;0,0;3422,198;100,0;;;;;31,15000;56,49000;1
KRSB;Красэсб ао;Красноярскэнергосбыт ао;Акции обыкновенные;RU000A0HMLY1;1-01-55147-E;3;0,02;RUB;596039612;0;0;TQBR;Т+: Акции и ДР - безадрес.;;23.10.2008;0;0;0;0;2023-06-02;;;закрытие реестра (рекомендуемая);8165742684.4;10545168742.64;"Публичное акционерное общество ""Красноярскэнергосбыт""";2466132221;100;13,7847;13,7847;0,0;27,5694;0,0;27,5694;0,0;27,5694;100,0;;;;;7,26000;11,93000;1
KTSB;КСБ ао;"""Костромск.сбыт.комп"" ПАО";Акции обыкновенные;RU000A0D8LW9;1-01-55051-E;3;0,04;RUB;868998400;0;0;TQBR;Т+: Акции и ДР - безадрес.;;18.08.2005;0;0;0;0;2015-07-14;;;закрытие реестра;1552031142.4;1637784876.16;"Публичное акционерное общество ""Костромская сбытовая компания""";4401050567;1000;1,78202;1,78202;0,0;3,56404;0,0;3,56404;0,0;3,56404;100,0;;;;;13,92000;53,62000;1
KUBE;РСетКубань;"""Россети Кубань"" ПАО";Акции обыкновенные;RU0009046767;1-02-00063-A;3;100,0;RUB;334657837;0;0;TQBR;Т+: Акции и ДР - безадрес.;;30.09.2003;0;0;0;0;2022-12-16;;;закрытие реестра;41330242869.5;41330242869.5;"Публичное акционерное общество ""Россети Кубань""";2309001660;10;124,062;124,062;0,0;248,124;0,0;248,124;0,0;248,124;100,0;;;;;14,81000;43,03000;1
KUZB;КузнецкийБ;"Банк ""Кузнецкий"" ПАО ао";Акции обыкновенные;RU000A0JSQ66;10100609B;3;0,01;RUB;22503490875;0;0;TQBR;Т+: Акции и ДР - безадрес.;;05.09.2012;0;0;0;0;2021-05-24;;;закрытие реестра;886412505.5662501;886412505.5662501;"Публичное акционерное общество Банк ""Кузнецкий""";5836900162;10000;0,039346;0,039346;0,0;0,078692;0,0;0,078692;0,0;0,078692;100,0;;;;;13,86000;20,63000;1
KZOS;ОргСинт ао;"ПАО ""Органический синтез"" ао";Акции обыкновенные;RU0009089825;1-02-55245-D;3;1,0;RUB;1785114000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;05.12.2011;0;0;0;0;2022-07-11;;;закрытие реестра;175298194800.0;178599044400.0;"Казанское публичное акционерное общество ""Органический синтез""";1658008723;10;98,091;98,091;49,046;147,137;24,523;171,659;4,905;191,277;50,0;116009;75,0;580045;95,0;9,74000;13,23000;1
LENT;Лента ао;Лента МКПАО ао;Акции обыкновенные;RU000A102S15;1-01-16686-A;1;0,09126;RUB;115985197;0;0;TQBR;Т+: Акции и ДР - безадрес.;;01.12.2021;0;0;0;0;;;;;83799304832.5;83799304832.5;"Международная компания публичное акционерное общество ""Лента""";3906399157;1;720,7;720,7;360,35;1081,05;180,18;1261,23;36,04;1405,37;50,0;11255;75,0;56275;95,0;9,67000;11,56000;1
LIFE;iФармсинтз;Фармсинтез ПАО ао;Акции обыкновенные;RU000A0JR514;1-02-09669-J;3;5,0;RUB;301010754;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;24.11.2010;0;0;0;0;;;;;2140186460.94;2140186460.94;"Публичное акционерное общество ""Фармсинтез""";7801075160;100;7,1471;7,1471;2,1441;12,1501;1,4294;12,8648;0,3574;13,9368;70,0;1406984;80,0;7034920;95,0;18,52000;24,60000;1
LKOH;ЛУКОЙЛ;НК ЛУКОЙЛ (ПАО) - ао;Акции обыкновенные;RU0009024277;1-01-00077-A;1;0,025;RUB;692865762;1;0;TQBR;Т+: Акции и ДР - безадрес.;;20.08.2003;1;1;0;0;2023-06-05;438.0;0.0967;закрытие реестра (рекомендуемая);3124131720858.0;3124131720858.0;"Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ""";7708004767;1;4515,79;4515,79;3161,05;5870,53;2890,11;6141,47;2574,0;6457,58;30,0;198121;36,0;990605;43,0;6,13000;6,65000;0
LNZL;Лензолото;"""Лензолото"" ПАО ао";Акции обыкновенные;RU000A0JP1N2;1-02-40433-N;3;1,0;RUB;1140300;0;0;TQBR;Т+: Акции и ДР - безадрес.;;12.12.2008;0;0;0;0;2022-11-28;;;закрытие реестра;17617635000.0;18671166000.0;"Ленское золотодобывающее публичное акционерное общество ""Лензолото""";3802000096;1;15432,85;15432,85;0,0;30865,7;0,0;30865,7;0,0;30865,7;100,0;;;;;15,23000;28,71000;1
LPSB;ЛЭСК ао;Липецкая энергосбыт.ком.ОАО ао;Акции обыкновенные;RU000A0D8MR7;1-01-65097-D;3;0,22;RUB;155521950;0;0;TQBR;Т+: Акции и ДР - безадрес.;;16.08.2005;0;0;0;0;2014-07-04;;;закрытие реестра;2480575102.5;2480575102.5;"Открытое акционерное общество ""Липецкая энергосбытовая компания""";4822001244;100;15,9323;15,9323;0,0;31,8646;0,0;31,8646;0,0;31,8646;100,0;;;;;15,08000;55,17000;1
LSNG;РСетиЛЭ;Россети Ленэнерго ПАО-ао;Акции обыкновенные;RU0009034490;1-01-00073-A;3;1,0;RUB;8523785320;0;0;TQBR;Т+: Акции и ДР - безадрес.;;16.07.2003;0;0;0;0;2023-01-08;;;закрытие реестра;124532503525.2;138428885864.2;"Публичное акционерное общество ""Россети Ленэнерго""";7803002209;100;14,5938;14,5938;0,0;29,1876;0,0;29,1876;0,0;29,1876;100,0;;;;;16,36000;54,93000;1
LSRG;ЛСР ао;Группа ЛСР ПАО ао;Акции обыкновенные;RU000A0JPFP0;1-01-55234-E;1;0,25;RUB;103030215;0;0;TQBR;Т+: Акции и ДР - безадрес.;;09.11.2007;0;0;0;0;2021-05-11;;;закрытие реестра;55739346315.0;55739346315.0;"Публичное акционерное общество ""Группа ЛСР""";7838360491;1;540,91;540,91;162,27;919,55;108,18;973,64;27,05;1054,77;70,0;26891;80,0;134455;95,0;8,33000;9,45000;0
LVHK;Левенгук;Левенгук ПАО ао;Акции обыкновенные;RU000A0JT7Y2;1-01-04329-D;3;10,0;RUB;52940000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;28.11.2012;0;0;0;0;2022-12-16;;;закрытие реестра;937567400.0;937567400.0;"Публичное акционерное общество ""Левенгук""";7839462305;100;17,6404;17,6404;0,0;35,2808;0,0;35,2808;0,0;35,2808;100,0;;;;;10,41000;13,72000;1
MAGE;МагадЭн ао;"""Магаданэнерго"" ПАО ао";Акции обыкновенные;RU0006758919;1-01-00254-A;3;1,0;RUB;463838268;0;0;TQBR;Т+: Акции и ДР - безадрес.;;12.11.2010;0;0;0;0;;;;;2537195325.96;3135912399.9;"Публичное акционерное общество энергетики и электрификации ""Магаданэнерго""";4909047148;100;5,4639;5,4639;0,0;10,9278;0,0;10,9278;0,0;10,9278;100,0;;;;;11,01000;16,49000;1
MAGN;ММК;"""Магнитогорск.мет.комб"" ПАО ао";Акции обыкновенные;RU0009084396;1-03-00078-A;1;1,0;RUB;11174330000;1;0;TQBR;Т+: Акции и ДР - безадрес.;;26.12.2005;1;1;0;0;2022-01-13;2.663;0.0396;закрытие реестра;423674721950.0;423674721950.0;"Публичное акционерное общество ""Магнитогорский металлургический комбинат""";7414003633;10;38,032;38,032;30,426;45,638;28,144;47,92;25,481;50,583;20,0;5438277;26,0;27191385;33,0;8,57000;8,61000;0
MFGS;Мегион-ао;"ао ""Славнефть-Мегионнефтегаз""";Акции обыкновенные;RU0009011126;1-03-00149-A;3;25,0;RUB;99474705;0;0;TQBR;Т+: Акции и ДР - безадрес.;;11.01.2005;0;0;0;0;2013-05-10;;;закрытие реестра;37253277022.5;46244747022.5;"Публичное акционерное общество ""Славнефть - Мегионнефтегаз""";8605003932;10;374,084;374,084;0,0;748,168;0,0;748,168;0,0;748,168;100,0;;;;;8,66000;9,83000;1
MGNT;Магнит ао;"""Магнит"" ПАО ао";Акции обыкновенные;RU000A0JKQU8;1-01-60525-P;1;0,01;RUB;101911355;1;0;TQBR;Т+: Акции и ДР - безадрес.;;24.04.2006;1;1;0;0;2021-12-31;294.37;0.0541;закрытие реестра;450702967487.5;450702967487.5;"Публичное акционерное общество ""Магнит""";2309085638;1;4445,9;4445,9;3556,72;5335,08;3289,97;5601,83;2978,75;5913,05;20,0;67930;26,0;339650;33,0;7,08000;5,51000;0
MGNZ;СМЗ-ао;Соликамский магн.завод(ОАО)ао;Акции обыкновенные;RU0009100911;1-01-00283-A;3;0,25;RUB;398272;0;0;TQBR;Т+: Акции и ДР - безадрес.;;14.10.2008;0;0;0;0;2019-07-02;;;закрытие реестра;2963143680.0;2963143680.0;"Открытое акционерное общество ""Соликамский магниевый завод""";5919470019;1;7437,01;7437,01;0,0;14874,02;0,0;14874,02;0,0;14874,02;100,0;;;;;18,59000;56,25000;1
MGTS;МГТС-5ао;"ПАО ""МГТС"" ао (5 в)";Акции обыкновенные;RU0009036461;1-05-00083-A;3;40,0;RUB;79708751;0;0;TQBR;Т+: Акции и ДР - безадрес.;;11.01.2005;0;0;0;0;2019-07-11;;;закрытие реестра;143874295555.0;163608156979.0;"Публичное акционерное общество ""Московская городская телефонная сеть""";7710016640;1;1803,0;1803,0;0,0;3606,0;0,0;3606,0;0,0;3606,0;100,0;;;;;12,61000;25,10000;1
MISB;ТНСэнМарЭл;ТНС энерго Марий Эл ПАО ао;Акции обыкновенные;RU000A0D8K33;1-01-50086-A;3;0,1;RUB;121847780;0;0;TQBR;Т+: Акции и ДР - безадрес.;;26.08.2005;0;0;0;0;2022-07-13;;;закрытие реестра;4215933188.0;4660130762.0;"Публичное акционерное общество ""ТНС энерго Марий Эл""";1215099739;100;34,5616;34,5616;0,0;69,1232;0,0;69,1232;0,0;69,1232;100,0;;;;;11,93000;49,48000;1
MOEX;МосБиржа;ПАО Московская Биржа;Акции обыкновенные;RU000A0JR4A1;1-05-08443-H;1;1,0;RUB;2276401458;1;0;TQBR;Т+: Акции и ДР - безадрес.;;04.02.2013;1;1;0;0;2023-05-12;4.84;0.0438;;249607419869.7;249607419869.7;"Публичное акционерное общество ""Московская Биржа ММВБ-РТС""";7702077840;10;109,885;109,885;87,908;131,862;81,315;138,455;73,623;146,147;20,0;1285441;26,0;6427205;33,0;7,94000;7,71000;0
MRKC;РоссЦентр;"ПАО ""Россети Центр"" ао";Акции обыкновенные;RU000A0JPPL8;1-01-10214-A;2;0,1;RUB;42217941468;0;0;TQBR;Т+: Акции и ДР - безадрес.;;21.05.2008;0;0;0;0;2023-06-23;;;закрытие реестра (рекомендуемая);14143010391.78;14143010391.78;"Публичное акционерное общество ""Россети Центр""";6901067107;1000;0,33483;0,33483;0,16742;0,50225;0,08371;0,58595;0,01674;0,65292;50,0;25601639;75,0;128008195;95,0;10,82000;14,79000;1
MRKK;Россети СК;Россети Сев. Кавказ ао;Акции обыкновенные;RU000A0JPPQ7;1-01-34747-E;3;1,0;RUB;889313596;0;0;TQBR;Т+: Акции и ДР - безадрес.;;19.06.2008;0;0;0;0;2014-07-11;;;закрытие реестра;14851537053.199999;14851537053.199999;"Публичное акционерное общество ""Россети Северный Кавказ""";2632082033;10;16,681;16,681;0,0;33,362;0,0;33,362;0,0;33,362;100,0;;;;;16,92000;21,58000;1
MRKP;РСетиЦП ао;Россети Центр и Приволжье ао;Акции обыкновенные;RU000A0JPN96;1-01-12665-E;2;0,1;RUB;112697817043;0;0;TQBR;Т+: Акции и ДР - безадрес.;;07.04.2008;0;0;0;0;2023-06-23;;;закрытие реестра (рекомендуемая);23993365248.4547;23993365248.4547;"Публичное акционерное общество ""Россети Центр и Приволжье""";5260200603;10000;0,213063;0,213063;0,106532;0,319595;0,053266;0,37286;0,010653;0,415473;50,0;39154268;75,0;195771340;95,0;8,84000;8,43000;0
MRKS;РсетСиб ао;Россети Сибирь ао;Акции обыкновенные;RU000A0JPPF0;1-01-12044-F;2;0,1;RUB;94815163249;0;0;TQBR;Т+: Акции и ДР - безадрес.;;05.06.2008;0;0;0;0;2020-01-14;;;закрытие реестра;33185307137.149998;33185307137.149998;"Публичное акционерное общество ""Россети Сибирь""";2460069527;10000;0,349612;0,349612;0,0;0,699224;0,0;0,699224;0,0;0,699224;100,0;;;;;11,65000;11,97000;1
MRKU;МРСК Ур;МРСК Урала (ОАО) ао;Акции обыкновенные;RU000A0JPPT1;1-01-32501-D;2;0,1;RUB;87430485711;0;0;TQBR;Т+: Акции и ДР - безадрес.;;18.06.2008;0;0;0;0;2023-01-08;;;закрытие реестра;19689345382.117203;19689345382.117203;"Открытое акционерное общество ""Межрегиональная распределительная сетевая компания Урала""";6671163413;10000;0,22495;0,22495;0,112475;0,337425;0,056238;0,393663;0,011248;0,438653;50,0;56074556;75,0;280372780;95,0;7,96000;9,43000;1
MRKV;РсетВол ао;Россети Волга ао;Акции обыкновенные;RU000A0JPPN4;1-01-04247-E;2;0,1;RUB;188307958732;0;0;TQBR;Т+: Акции и ДР - безадрес.;;23.05.2008;0;0;0;0;2022-06-28;;;закрытие реестра;7127456238.006201;7127456238.006201;"Публичное акционерное общество ""Россети Волга""";6450925977;10000;0,037808;0,037808;0,018904;0,056712;0,009452;0,066164;0,00189;0,073726;50,0;157109191;75,0;785545955;95,0;10,37000;14,82000;1
MRKY;РоссЮг ао;Россети Юг  (ПАО) ао;Акции обыкновенные;RU000A0JPPG8;1-01-34956-E;3;0,1;RUB;151641426354;0;0;TQBR;Т+: Акции и ДР - безадрес.;;22.08.2008;0;0;0;0;2019-06-19;;;закрытие реестра;6914849041.7424;6914849041.7424;"Публичное акционерное общество ""Россети Юг""";6164266561;10000;0,045599;0,045599;0,0;0,091198;0,0;0,091198;0,0;0,091198;100,0;;;;;7,67000;10,58000;1
MRKZ;РСетиСЗ ао;ПАО Россети Северо-Запад ао;Акции обыкновенные;RU000A0JPPB9;1-01-03347-D;2;0,1;RUB;95785923138;0;0;TQBR;Т+: Акции и ДР - безадрес.;;29.05.2008;0;0;0;0;2020-06-09;;;закрытие реестра;3295035755.9472;3295035755.9472;"Публичное акционерное общество ""Россети Северо-Запад""";7802312751;10000;0,034262;0,034262;0,017131;0,051393;0,008566;0,059959;0,001713;0,066811;50,0;346752661;75,0;1733763305;95,0;9,75000;9,03000;1
MRSB;МордЭнСб;Мордовск.энергсбыт.комп.ПАО ао;Акции обыкновенные;RU000A0D9AJ7;1-01-55055-E;3;0,0136;RUB;1345037710;0;0;TQBR;Т+: Акции и ДР - безадрес.;;01.09.2005;0;0;0;0;2021-12-06;;;закрытие реестра;663103591.03;663103591.03;"Публичное акционерное общество ""Мордовская энергосбытовая компания""";1326192645;10000;0,491454;0,491454;0,0;0,982908;0,0;0,982908;0,0;0,982908;100,0;;;;;11,09000;23,74000;1
MSNG;+МосЭнерго;МосЭнерго акции обыкн.;Акции обыкновенные;RU0008958863;1-01-00085-A;1;1,0;RUB;39749359700;0;0;TQBR;Т+: Акции и ДР - безадрес.;;11.01.2005;0;0;0;0;2022-07-11;;;закрытие реестра;95398463280.0;95398463280.0;"Публичное акционерное общество энергетики и электрификации ""Мосэнерго""";7705035012;1000;2,39786;2,39786;1,19893;3,59679;0,59947;4,19626;0,11989;4,67583;50,0;4394639;75,0;21973195;95,0;6,37000;12,50000;0
MSRS;РСетиМР ао;ПАО Россети Моск.рег. ао;Акции обыкновенные;RU000A0ET7Y7;1-01-65116-D;2;0,5;RUB;48707091574;0;0;TQBR;Т+: Акции и ДР - безадрес.;;09.02.2006;0;0;0;0;2022-07-03;;;закрытие реестра;50411839779.09;50411839779.09;"Публичное акционерное общество ""Россети Московский регион""";5036065113;1000;1,03385;1,03385;0,51693;1,55078;0,25846;1,80924;0,05169;2,01601;50,0;8467401;75,0;42337005;95,0;9,68000;7,51000;1
MSTT;Мостотрест;"ПАО ""МОСТОТРЕСТ"" ао";Акции обыкновенные;RU0009177331;1-03-02472-A;3;0,14;RUB;282215500;0;0;TQBR;Т+: Акции и ДР - безадрес.;;03.11.2010;0;0;0;0;2018-07-03;2.19;0.0207;закрытие реестра;63780703000.0;63780703000.0;"Публичное акционерное общество ""МОСТОТРЕСТ""";7701045732;10;225,749;225,749;0,0;451,498;0,0;451,498;0,0;451,498;100,0;;;;;22,16000;56,36000;1
MTLR;Мечел ао;Мечел ПАО ао;Акции обыкновенные;RU000A0DKXV5;1-01-55005-E;1;10,0;RUB;416270745;0;0;TQBR;Т+: Акции и ДР - безадрес.;;26.12.2008;1;0;0;0;2021-07-13;;;закрытие реестра;75086916983.09999;102033509876.09999;"Публичное акционерное общество ""Мечел""";7703370008;1;180,19;180,19;54,06;306,32;36,04;324,34;9,01;351,37;70,0;1187689;80,0;5938443;95,0;13,76000;12,12000;0
MTSS;МТС-ао;Мобильные ТелеСистемы ПАО ао;Акции обыкновенные;RU0007775219;1-01-04715-A;1;0,1;RUB;1998381575;1;0;TQBR;Т+: Акции и ДР - безадрес.;;11.02.2004;1;1;0;0;2022-07-12;33.85;0.1429;закрытие реестра;531769337107.50006;531769337107.50006;"Публичное акционерное общество ""Мобильные ТелеСистемы""";7740000076;10;266,281;266,281;213,025;319,537;197,048;335,514;178,408;354,154;20,0;638111;26,0;3190555;33,0;6,35000;6,45000;0
MVID;М.видео;"""М.видео"" ПАО ао";Акции обыкновенные;RU000A0JPGA0;1-02-11700-A;1;10,0;RUB;179768227;0;0;TQBR;Т+: Акции и ДР - безадрес.;;01.11.2007;1;0;0;0;2021-12-16;35.0;0.072;закрытие реестра;33293075640.399998;33293075640.399998;"Публичное акционерное общество ""М.видео""";7707602010;1;185,29;185,29;92,65;277,94;46,32;324,26;9,26;361,32;50,0;55132;75,0;275660;95,0;11,06000;7,56000;0
NAUK;iНПОНаука;НПО Наука ао;Акции обыкновенные;RU000A0JRPX9;1-01-04440-A;3;0,2;RUB;11789500;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;15.12.2011;0;0;0;0;2023-06-05;;;закрытие реестра (рекомендуемая);3937693000.0;3937693000.0;"Публичное акционерное общество Научно-производственное объединение ""Наука""";7714005350;10;330,433;330,433;0,0;660,866;0,0;660,866;0,0;660,866;100,0;;;;;13,05000;27,37000;1
NFAZ;НЕФАЗ;НЕФАЗ ПАО ао;Акции обыкновенные;RU0009115604;1-01-30520-D;3;1,0;RUB;8038896;0;0;TQBR;Т+: Акции и ДР - безадрес.;;09.09.2011;0;0;0;0;;;;;3163305576.0;3163305576.0;"Публичное акционерное общество ""НЕФАЗ""";0264004103;10;392,064;392,064;0,0;784,128;0,0;784,128;0,0;784,128;100,0;;;;;10,49000;15,98000;1
NKHP;НКХП ао;НКХП ПАО ао;Акции обыкновенные;RU000A0BLWD7;1-03-35684-E;3;1,0;RUB;67597000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;17.11.2015;0;0;0;0;2021-10-11;;;закрытие реестра;25112285500.0;25112285500.0;"Публичное акционерное общество ""Новороссийский комбинат хлебопродуктов""";2315014748;10;372,586;372,586;0,0;745,172;0,0;745,172;0,0;745,172;100,0;;;;;9,13000;14,88000;1
NKNC;НКНХ ао;"""Нижнекамскнефтехим"" ПАО ао";Акции обыкновенные;RU0009100507;1-02-00096-A;3;1,0;RUB;1611256000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;04.04.2008;0;0;0;0;2022-07-11;;;закрытие реестра;177560411200.0;196585719400.0;"Публичное Акционерное Общество ""Нижнекамскнефтехим""";1651000010;10;110,178;110,178;55,089;165,267;27,545;192,812;5,509;214,847;50,0;67707;75,0;338535;95,0;13,26000;16,83000;1
NKSH;Нижкамшина;Нижнекамскшина ПАО ао;Акции обыкновенные;RU0009100515;1-02-55032-D;3;1,0;RUB;63731171;0;0;TQBR;Т+: Акции и ДР - безадрес.;;14.12.2011;0;0;0;0;;;;;2075086927.7600002;2075086927.7600002;"Публичное акционерное общество ""Нижнекамскшина""";1651000027;100;32,5039;32,5039;0,0;65,0078;0,0;65,0078;0,0;65,0078;100,0;;;;;8,20000;15,94000;1
NLMK;НЛМК ао;"ПАО ""НЛМК"" ао";Акции обыкновенные;RU0009046452;1-01-00102-A;1;1,0;RUB;5993227240;1;0;TQBR;Т+: Акции и ДР - безадрес.;;06.04.2006;1;1;0;0;2023-01-11;2.6;0.0233;;763177556741.6;763177556741.6;"Публичное акционерное общество ""Новолипецкий металлургический комбинат""";4823006703;10;127,708;127,708;95,781;159,635;88,119;167,297;79,179;176,237;25,0;1743499;31,0;8717495;38,0;10,61000;8,82000;0
NMTP;НМТП ао;НМТП (ПАО) ао;Акции обыкновенные;RU0009084446;1-01-30251-E;3;0,01;RUB;19259815400;0;0;TQBR;Т+: Акции и ДР - безадрес.;;08.11.2007;0;0;0;0;2022-07-12;;;закрытие реестра;129907454873.0;129907454873.0;"Публичное акционерное общество ""Новороссийский морской торговый порт""";2315004404;100;6,7375;6,7375;3,3688;10,1063;1,6844;11,7906;0,3369;13,1381;50,0;1336388;75,0;6681940;95,0;10,67000;13,02000;0
NNSB;ТНСэнНН ао;ТНС энерго Нижний Новг.ПАО ао;Акции обыкновенные;RU000A0ET5A1;1-01-55072-E;3;11,88;RUB;3919400;0;0;TQBR;Т+: Акции и ДР - безадрес.;;08.11.2005;0;0;0;0;2016-07-08;;;закрытие реестра;10112052000.0;11047942560.0;"Публичное акционерное общество ""ТНС энерго Нижний Новгород""";5260148520;1;2577,14;2577,14;0,0;5154,28;0,0;5154,28;0,0;5154,28;100,0;;;;;14,02000;18,16000;1
NSVZ;iНаукаСвяз;Наука-Связь ПАО ао;Акции обыкновенные;RU000A0JQLB6;1-01-12689-A;3;1,0;RUB;4701562;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;13.12.2011;0;0;0;0;2014-10-06;;;закрытие реестра;1182442843.0;1182442843.0;"Публичное акционерное общество ""Наука-Связь""";7714716995;10;249,723;249,723;0,0;499,446;0,0;499,446;0,0;499,446;100,0;;;;;15,90000;30,53000;1
NVTK;Новатэк ао;"ПАО ""НОВАТЭК"" ао";Акции обыкновенные;RU000A0DKVS5;1-02-00268-E;1;0,1;RUB;3036306000;1;0;TQBR;Т+: Акции и ДР - безадрес.;;18.08.2006;1;1;0;0;2023-05-03;60.58;0.0488;закрытие реестра;3710365932000.0;3710365932000.0;"публичное акционерное общество ""НОВАТЭК""";6316031581;1;1228,7;1228,7;860,09;1597,31;786,37;1671,03;700,36;1757,04;30,0;224365;36,0;1121825;43,0;7,24000;6,42000;0
OGKB;ОГК-2 ао;ОГК-2 ПАО ао;Акции обыкновенные;RU000A0JNG55;1-02-65105-D;2;0,3627;RUB;110441160870;0;0;TQBR;Т+: Акции и ДР - безадрес.;;22.06.2007;1;0;0;0;2022-07-11;;;закрытие реестра;77463430234.218;77463430234.218;"Публичное акционерное общество ""Вторая генерирующая компания оптового рынка электроэнергии""";2607018122;1000;0,70202;0,70202;0,47035;0,93369;0,35101;1,05303;0,17551;1,22854;33,0;14372600;50,0;71863000;75,0;8,38000;6,73000;0
PAZA;ПавлАвт ао;Павловский автобус ПАО ао;Акции обыкновенные;RU0009083240;1-02-00261-A;3;415,0;RUB;1567904;0;0;TQBR;Т+: Акции и ДР - безадрес.;;08.12.2011;0;0;0;0;;;;;10128659840.0;10128659840.0;"Публичное акционерное общество ""Павловский автобус""";5252000350;1;6452,83;6452,83;0,0;12905,66;0,0;12905,66;0,0;12905,66;100,0;;;;;9,54000;11,50000;1
PHOR;ФосАгро ао;ФосАгро ПАО ао;Акции обыкновенные;RU000A0JRKT8;1-02-06556-A;1;2,5;RUB;129500000;1;0;TQBR;Т+: Акции и ДР - безадрес.;;18.07.2011;1;1;0;0;2023-04-04;465.0;0.0637;закрытие реестра;914399500000.0;914399500000.0;"Публичное акционерное общество ""ФосАгро""";7736216869;1;7076,24;7076,24;5660,99;8491,49;5236,42;8916,06;4741,08;9411,4;20,0;12768;26,0;63840;33,0;5,59000;6,44000;0
